"X","Name","Artist","RiaaStatus","Label"
0,"Wish Wish ","Dj Khaled","Gold","We the Best / Epic"
1,"Level Up","Ciara","1x Platinum","Beauty Marks Entertainment"
2,"Con Calma ","Daddy Yankee","11x Diamond","Universal Music Latino / El Cartel Records"
3,"Wish you Were Gay","Billie Eilish","1x Platinum","Darkroom / Interscope Records"
4,"El Anillo","Jennifer Lopez","6x Multi-Platinum","Sony Latin"
5,"Rumor","Lee Brice","1x Platinum","Curb Records"
6,"God's Country","Blake Shelton","Gold","Warner Music Nashville"
7,"Put a Date on it","Yo Gotti","1x Platinum","Epic"
8,"Powerful ","Major Lazer","Gold","Mad Decent / Interscope"
9,"Still Falling for you","Ellie Goulding","Gold","Interscope"
10,"Try Everything","Shakira","2x Multi-Platinum","Walt Disney Records"
11,"What Hurts the Most","Rascal Flatts","5x Multi-Platinum","Hollywood Records"
12,"Sucker","Jonas Brothers","1x Platinum","Republic Records"
13,"Uproar","Lil Wayne","1x Platinum","Young Money Records"
14,"New Light","John Mayer","1x Platinum","Snack Money"
15,"Caught Up in the Country","Rodney Atkins","Gold","Curb Records"
16,"I'm Yours","Jason Mraz","10x Diamond","Atlantic Records"
17,"Down to the Honkytonk","Jake Owen","Gold","Big Loud Records"
18,"i Was Jack (you Were Diane)","Jake Owen","Gold","Big Loud Records"
19,"Hey Look Ma, i Made it","Panic! at the Disco","Gold","Fueled by Ramen"
20,"High Hopes","Panic! at the Disco","3x Multi-Platinum","Fueled by Ramen"
21,"Monster","Skillet","3x Multi-Platinum","Atlantic Records"
22,"Ridin' Solo","Jason Derulo","4x Multi-Platinum","Warner Records"
23,"Want to Want Me","Jason Derulo","4x Multi-Platinum","Warner Records"
24,"We are Young ","Fun","10x Diamond","Fueled by Ramen"
25,"Happens Like that","Granger Smith","Gold","Wheelhouse Records"
26,"Whatcha Say","Jason Derulo","5x Multi-Platinum","Warner Records"
27,"Wiggle ","Jason Derulo","3x Multi-Platinum","Warner Records"
28,"Middle Child","j Cole","3x Multi-Platinum","Dreamville / Roc Nation"
29,"What's Free ","Meek Mill","Gold","Mmg / Atlantic Records"
30,"Hopeless Romantic ","Wiz Khalifa","1x Platinum","Atlantic Records"
31,"Chlorine","Twenty One Pilots","Gold","Fueled by Ramen"
