,Name,Artist,Features,Streams,Week
0,In My Feelings,Drake,,30747676,2018-07-20
1,Lucid Dreams,Juice WRLD,,12930705,2018-07-20
2,Nonstop,Drake,,12312859,2018-07-20
3,God is a woman,Ariana Grande,,10771324,2018-07-20
4,SAD!,XXXTENTACION,,10503061,2018-07-20
5,Taste ,Tyga,Offset,9777479,2018-07-20
6,Don’t Matter To Me,Drake,,9769263,2018-07-20
7,I Like It,Cardi B,,9278476,2018-07-20
8,Moonlight,XXXTENTACION,,8544143,2018-07-20
9,Girls Like You ,Maroon 5,Cardi B,8257586,2018-07-20
10,Nice For What,Drake,,8193242,2018-07-20
11,Better Now,Post Malone,,7877292,2018-07-20
12,Summertime Magic,Childish Gambino,,7519515,2018-07-20
13,Yes Indeed,Lil Baby,,7436762,2018-07-20
14,I'm Upset,Drake,,7313974,2018-07-20
15,God's Plan,Drake,,6886838,2018-07-20
16,Mob Ties,Drake,,6010125,2018-07-20
17,Jackie Chan,Tiësto,,5589022,2018-07-20
18,Youngblood,5 Seconds of Summer,,5476526,2018-07-20
19,Psycho ,Post Malone,Ty Dolla $ign,5461822,2018-07-20
20,Eastside ,"benny blanco, Halsey, Khalid, Halsey, Khalid",,5325080,2018-07-20
21,Ocean ,Martin Garrix,Khalid,5277329,2018-07-20
22,Jocelyn Flores,XXXTENTACION,,5145261,2018-07-20
23,All Girls Are The Same,Juice WRLD,,5073925,2018-07-20
24,changes,XXXTENTACION,,5023686,2018-07-20
25,APESHIT,The Carters,,4830730,2018-07-20
26,Look Alive ,BlocBoy JB,Drake,4826668,2018-07-20
27,Boo'd Up,Ella Mai,,4748460,2018-07-20
28,no tears left to cry,Ariana Grande,,4509464,2018-07-20
29,Bed ,Nicki Minaj,Ariana Grande,4444780,2018-07-20
30,Fuck Love ,XXXTENTACION,Trippie Redd,4353823,2018-07-20
31,All Mine,Kanye West,,4347034,2018-07-20
32,Wasted ,Juice WRLD,Lil Uzi Vert,4274567,2018-07-20
33,rockstar ,Post Malone,21 Savage,4206779,2018-07-20
34,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,,4172502,2018-07-20
35,Emotionless,Drake,,4156072,2018-07-20
36,Hopeless Romantic ,Wiz Khalifa,Swae Lee,4128303,2018-07-20
37,Praise The Lord (Da Shine) ,A$AP Rocky,Skepta,4095518,2018-07-20
38,One Kiss ,"Calvin Harris, Dua Lipa, Dua Lipa",,3965186,2018-07-20
39,Can’t Take A Joke,Drake,,3811354,2018-07-20
40,Elevate,Drake,,3793839,2018-07-20
41,Solo ,Clean Bandit,Demi Lovato,3679662,2018-07-20
42,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,,3663897,2018-07-20
43,Ball For Me ,Post Malone,Nicki Minaj,3631354,2018-07-20
44,lovely ,"Billie Eilish, Khalid, Khalid",,3597219,2018-07-20
45,Body,Loud Luxury,,3551924,2018-07-20
46,Plug Walk,Rich The Kid,,3444255,2018-07-20
47,Fr Fr ,Wiz Khalifa,Lil Skies,3377195,2018-07-20
48,Te Boté - Remix,Nio Garcia,,3376696,2018-07-20
49,Everybody Dies In Their Nightmares,XXXTENTACION,,3345149,2018-07-20
50,Jumpsuit,Twenty One Pilots,,3331795,2018-07-20
51,Nico And The Niners,Twenty One Pilots,,3303854,2018-07-20
52,This Is America,Childish Gambino,,3272902,2018-07-20
53,I Fall Apart,Post Malone,,3197985,2018-07-20
54,Ric Flair Drip (& Metro Boomin),Offset,,3193619,2018-07-20
55,High Hopes,Panic! At The Disco,,3191507,2018-07-20
56,Rise,Jonas Blue,,3140668,2018-07-20
57,Walk It Talk It,Migos,,3116492,2018-07-20
58,Born To Be Yours,Kygo,,3103625,2018-07-20
59,Blue Tint,Drake,,3026331,2018-07-20
60,JAPAN,Famous Dex,,3003638,2018-07-20
61,Mine,Bazzi,,2939370,2018-07-20
