M2,AMBIENTES,ANTIGUEDAD,BAÑOS,LATITUD,LONGITUD,COMUNA,DOLARES
81,3,4,1,-34.581078051866186,-58.449433041766184,COMUNA 13,225000
69,3,20,1,-34.62312877177625,-58.43933750841767,COMUNA 06,140000
75,3,20,1,-34.604971926557816,-58.42127794148996,COMUNA 05,154000
42,2,40,1,-34.60472519089258,-58.39952354016936,COMUNA 03,75000
90,3,1,1,-34.623390036970264,-58.504401294836605,COMUNA 10,149900
120,3,2,2,-34.57777424491495,-58.424299991280435,COMUNA 14,630000
35,1,5,1,-34.548911050054585,-58.46987165936478,COMUNA 12,92000
82,3,70,2,-34.637083476377896,-58.405029178031384,COMUNA 04,135000
38,1,8,1,-34.580969526896965,-58.440528007545865,COMUNA 14,110000
17,2,40,1,-34.58707697480098,-58.40106919297761,COMUNA 02,45000
45,2,10,1,-34.5924523164623,-58.40185414991864,COMUNA 02,145000
26,1,4,1,-34.595994427399795,-58.40897358197618,COMUNA 02,75000
31,2,20,1,-34.571313375289634,-58.47705117918353,COMUNA 12,70000
25,1,20,1,-34.597746460898755,-58.37972725771631,COMUNA 01,54000
158,5,28,3,-34.62648163193695,-58.47163445361577,COMUNA 07,248000
39,2,60,1,-34.59405255490763,-58.39220236509163,COMUNA 02,128000
34,2,35,1,-34.611534497095,-58.48678581618525,COMUNA 11,68000
185,4,20,4,-34.5629790287257,-58.439544079318196,COMUNA 14,610000
62,2,5,2,-34.576276344456076,-58.43515307934823,COMUNA 14,174000
52,2,13,2,-34.59442479727465,-58.398128492433564,COMUNA 02,175000
90,4,50,1,-34.6252826680319,-58.44786764123509,COMUNA 06,230000
34,1,5,1,-34.56488747657721,-58.461323338301824,COMUNA 13,109000
35,2,7,1,-34.60082999901681,-58.392547783033784,COMUNA 01,109000
35,2,7,1,-34.60082999901681,-58.392547783033784,COMUNA 01,107000
35,2,7,1,-34.60082999901681,-58.392547783033784,COMUNA 01,107000
298,4,40,4,-34.576132921316514,-58.40611160432873,COMUNA 14,1400000
42,2,10,1,-34.55510107618065,-58.461094671377104,COMUNA 13,144000
33,1,20,1,-34.53730822008631,-58.467448249896535,COMUNA 13,79800
33,1,5,1,-34.58707925417768,-58.47682726461478,COMUNA 15,87000
140,4,20,3,-34.58888054630938,-58.38489718697717,COMUNA 01,475000
55,3,20,1,-34.592542741787305,-58.4079912221988,COMUNA 02,7428
47,3,10,1,-34.625799003118274,-58.52747608345872,COMUNA 10,80000
47,2,10,1,-34.625799003118274,-58.52747608345872,COMUNA 10,80000
78,3,5,2,-34.601641476388195,-58.430121421439935,COMUNA 05,220000
35,2,20,1,-34.600028639199536,-58.419968887241495,COMUNA 05,72000
140,4,10,2,-34.56368291489641,-58.4426824005453,COMUNA 14,353000
75,3,20,2,-34.59728079893657,-58.40509830271861,COMUNA 02,165000
170,4,5,2,-34.58246980604317,-58.43272259735087,COMUNA 14,980000
36,1,2,1,-34.58488797858849,-58.44688509656585,COMUNA 15,75000
36,1,2,1,-34.58488797858849,-58.44688509656585,COMUNA 15,75000
68,3,20,1,-34.56179942623591,-58.44421188732735,COMUNA 13,174000
59,4,25,1,-34.557906716450795,-58.48461268920599,COMUNA 12,150000
38,1,5,1,-34.580969526896965,-58.440528007545865,COMUNA 14,110000
42,2,40,1,-34.59815863089777,-58.44658647612657,COMUNA 15,95000
50,3,35,1,-34.59090338250458,-58.41909985504197,COMUNA 14,150000
57,3,45,1,-34.566774577228834,-58.45968656391587,COMUNA 13,175000
33,2,45,1,-34.6267747978603,-58.44324406562135,COMUNA 06,65500
221,5,13,4,-34.56510894636115,-58.43441543329892,COMUNA 14,1310000
52,3,10,1,-34.64297113932825,-58.49377144898301,COMUNA 10,90000
51,2,5,1,-34.57828991615439,-58.42353486064603,COMUNA 14,184000
41,2,10,1,-34.57225770308891,-58.48216169920745,COMUNA 12,100000
37,1,5,1,-34.59216687615251,-58.427020725566,COMUNA 14,120000
37,1,5,1,-34.59216687615251,-58.427020725566,COMUNA 14,120000
42,2,40,1,-34.56965788906546,-58.433623111339166,COMUNA 14,138000
117,3,10,2,-34.62031443759582,-58.365451445376934,COMUNA 01,520000
85,4,30,2,-34.624447131745306,-58.40692633408838,COMUNA 03,170000
205,6,50,3,-34.591852644811524,-58.39184826618972,COMUNA 02,500000
50,2,30,1,-34.631751954544214,-58.370135211526616,COMUNA 04,85000
65,1,5,1,-34.56409860527989,-58.464846868668005,COMUNA 13,179000
88,4,20,2,-34.55015161752366,-58.47013613571929,COMUNA 13,165000
92,3,12,1,-34.56600013322811,-58.43692239816578,COMUNA 14,285000
45,2,3,1,-34.570544318688015,-58.43449640741114,COMUNA 14,220000
45,2,3,1,-34.570544318688015,-58.43449640741114,COMUNA 14,220000
90,3,10,3,-34.54487214484133,-58.4598191608537,COMUNA 13,315000
36,2,20,1,-34.60366277523728,-58.440696877607614,COMUNA 15,62000
241,5,40,3,-34.57908676978729,-58.3970404334459,COMUNA 14,1550000
30,1,20,1,-34.598882870176915,-58.38695349637228,COMUNA 02,79000
34,1,4,1,-34.60417099890348,-58.409259083953344,COMUNA 03,78000
95,4,20,2,-34.58821437297571,-58.408390386694535,COMUNA 02,245000
65,3,4,1,-34.57322946918145,-58.42228312841672,COMUNA 14,250000
140,3,7,1,-34.61164976497698,-58.36257080474287,COMUNA 01,785000
68,3,50,1,-34.62412692745785,-58.39354343859112,COMUNA 03,100000
68,3,50,1,-34.62412692745785,-58.39354343859112,COMUNA 03,100000
142,4,30,2,-34.55563143602941,-58.450486343433674,COMUNA 13,370000
181,4,20,2,-34.59418886988492,-58.37858875584065,COMUNA 01,490000
36,3,40,1,-34.606656570698696,-58.4585603066339,COMUNA 06,73000
36,2,50,1,-34.59180746462646,-58.38988498767844,COMUNA 02,125000
72,3,20,1,-34.61925230437197,-58.49879634139275,COMUNA 10,135000
65,3,5,2,-34.57850613650441,-58.484275624998524,COMUNA 12,195000
136,3,41,2,-34.592713616120555,-58.395042458110005,COMUNA 02,290000
110,5,50,2,-34.6052925908784,-58.38634028989613,COMUNA 01,195000
