Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Nacionalidad
Fortuna 1 Liga ,1,7/29/07,Away,Znicz Pruszkow,Pelikan Lowicz,0:2,CF,90',0:2,Not Applicable,Not Applicable,Polaco
Fortuna 1 Liga ,2,8/5/07,Home,Znicz Pruszkow,Kmita Zabierzów,4:0,CF,77',4:0,Not Applicable,Not Applicable,Polaco
Fortuna 1 Liga ,22,3/22/08,Away,Znicz Pruszkow,Slask Wroclaw,0:3,CF,24',0:1,Not Applicable,Igor Lewczuk,Polaco
Fortuna 1 Liga ,22,3/22/08,Away,Znicz Pruszkow,Slask Wroclaw,0:3,CF,56',0:3,Not Applicable,Pawel Kaczmarek,Polaco
Fortuna 1 Liga ,31,5/11/08,Home,Znicz Pruszkow,Motor Lublin,3:0,CF,35',2:0,Not Applicable,Not Applicable,Polaco
UEFA-Cup Qualifikation ,First Round,7/17/08,Away,Lech Poznan,Xäzär Länkäran,0:1,Not Applicable,76',0:1,Not Applicable,Slawomir Peszko,Polaco
Ekstraklasa ,1,8/8/08,Home,Lech Poznan,GKS Belchatow,2:3,Not Applicable,67',2:1,Not Applicable,Tomasz Bandrowski,Polaco
UEFA-Cup Qualifikation ,Second Round,8/14/08,Home,Lech Poznan,Grasshopper Club Zurich,6:0,Not Applicable,14',2:0,Right-footed shot,Hernán Rengifo,Polaco
UEFA-Cup Qualifikation ,Second Round,8/14/08,Home,Lech Poznan,Grasshopper Club Zurich,6:0,Not Applicable,56',3:0,Right-footed shot,Semir Stilic,Polaco
Ekstraklasa ,3,8/23/08,Home,Lech Poznan,Górnik Zabrze,3:0,Not Applicable,10',1:0,Not Applicable,Semir Stilic,Polaco
Ekstraklasa ,4,8/31/08,Away,Lech Poznan,Arka Gdynia,2:1,Not Applicable,23',0:1,Not Applicable,Hernán Rengifo,Polaco
